,user,location,followers,following,unfiltered_text,retweets,likes,listed_count,tweets,mentions,isreply,verified,hashtags,days,retweeted_before,url,text,popularity,city,topics,sentiment
39,BhagvanN,noida,695,661,@Aryavrta @ishkarnBHANDARI @ippatel @Real_Anuj @Atul_Real1 @Payal_Rohatgi #BiasedJudiciary : ⏩ Does discrimination… https://t.co/Ydxa3bgKlK,0,0,2,64349,6,1,0,1,2366,0,https://twitter.com/statuses/1190820296644689921,aryavrta ishkarnbhandari ippatel realanuj atulreal1 payalrohatgi biasedjudiciary do discrimination,1.1293428070345095,DELHI,0,neutral
17,DikshitSmita,New Delhi,5916,180,"@DeveshP84 @ragarwal Yeah but the entitled view that cops have about their own ""power"" makes it difficult to even h… https://t.co/0PP0LYGv5A",0,0,86,87532,2,1,0,0,2629,0,https://twitter.com/statuses/1190820390416740352,deveshp84 ragarwal yeah entitle view that cop have about their power make difficult even,1.12497299816322,DELHI,0,negative
96,manoosoni,"New Delhi, India",655,1255,@LalitKModi Sorry to hear. May his soul find solace.  #OmShanti,0,0,24,28852,1,1,0,1,3561,0,https://twitter.com/statuses/1190819922999468032,lalitkmodi sorry hear soul find solace omshanti,1.0517303216873604,DELHI,0,negative
9,rahul_nitk81204,"New Delhi, India",422,317,"@TheyTravel Phone for sure . Carrying a  Camera ,especially DSLR and its associated paraphernalia is really cumbersome .",0,0,2,1841,1,1,0,0,3533,0,https://twitter.com/statuses/1190820439192264705,theytravel phone sure carry camera especially dslr associate paraphernalia really cumbersome,1.0108680564072168,DELHI,0,positive
77,Yashdadhwadia,New Delhi ,513,3418,@roykajal That's great way of complimenting,0,0,5,11841,1,1,0,0,3464,0,https://twitter.com/statuses/1190820048241352704,roykajal that great compliment,0.9626393328440134,DELHI,0,positive
95,KULDEEPTANWAR4,"Deoband, India",1216,2482,"@RiituS Good morning
Happy Sunday",0,0,5,31154,1,1,0,0,2740,0,https://twitter.com/statuses/1190819933271146496,riitus good morning happy sunday,0.9341768705894565,DELHI,0,positive
65,KULDEEPTANWAR4,"Deoband, India",1216,2482,"@_rekhachaubey Good morning
Happy Sunday",0,0,5,31154,1,1,0,0,2740,0,https://twitter.com/statuses/1190820134874570753,rekhachaubey good morning happy sunday,0.9341768705894565,DELHI,0,positive
51,Je_suis_perdu7,"Delhi, India",1046,1015,@pvravisekhar Hello @nailainayat @MonaAlamm good morning. 💙💚💛,0,0,0,9491,3,1,0,0,94,0,https://twitter.com/statuses/1190820230655705088,pvravisekhar hello nailainayat monaalamm good morning,0.9222889082492876,DELHI,0,positive
13,Devnarayangup13,"नई दिल्ली, भारत",17,221,"@umashankarsingh @DrKumarVishwas Must watch....till end with patience....

https://t.co/Zp9QgiQ19Y",0,0,0,263,2,1,0,0,826,0,https://twitter.com/statuses/1190820405117779969,umashankarsingh drkumarvishwas must watch till with patience,0.8931905172574319,DELHI,0,neutral
75,RajivSi39590554,"New Delhi, India",2,308,@LambaAlka You are also part of Aap government,0,0,0,524,1,1,0,0,132,0,https://twitter.com/statuses/1190820064850694144,lambaalka also part government,0.8166168858282461,DELHI,0,neutral
23,news24tvchannel,Noida,188462,167,Devotees gather at Suryakund Dham in Gorakhpur to perform the rituals of #Chathpuja. https://t.co/7HJZfwCNA6,0,0,840,403896,0,0,0,1,3846,0,https://twitter.com/statuses/1190820361748664320,devote gather suryakund dham gorakhpur perform rituals chathpuja,2.247274928546026,DELHI,1,neutral
40,viv_vash,"Noida, India",435,2982,"@imjytk @iamsrk Naaaaaa 

Bas yeh mat bolo , never go to watch @BeingSalmanKhan movies in theater",1,0,8,9588,3,1,0,0,2914,1,https://twitter.com/statuses/1190820295860338688,imjytk iamsrk naaaaaa bolo never watch beingsalmankhan movies theater,1.1623399380476005,DELHI,1,neutral
67,delhi23may,delhi,7,114,@ColorsTV @justvoot @BeingSalmanKhan @Vivo_India #HimanshiKhurrana she is pretty 😘😘 atleast us moti fake se to better h,0,1,0,1539,4,1,0,1,3560,0,https://twitter.com/statuses/1190820121645707265,colorstv justvoot beingsalmankhan vivoindia himanshikhurrana pretty atleast moti fake better,1.0899654288894562,DELHI,1,positive
47,ashwanig,"Gurgaon, India",42,38,"Almost 10 counters non operational. Flight @8:55 AM, long queue, EY 229. Zero Governance. #Airport #AmitShah… https://t.co/g7DJ1FjvVM",0,0,0,167,1,1,0,2,3864,0,https://twitter.com/statuses/1190820248812961794,almost counter operational flight 855 long queue 229 zero governance airport amitshah,1.0810965775568695,DELHI,1,negative
71,JavedSuri,"New Delhi, India",9,78,@IndoIslamicPage @SRKUniverse @ShahrukhKhan_FC @Bollywoodirect @filmfare @FilmHistoryPic @FilmCompanion @SrBachchan… https://t.co/qRAv5CCDdh,0,0,0,1042,8,1,0,0,64,0,https://twitter.com/statuses/1190820084333236225,indoislamicpage srkuniverse shahrukhkhanfc bollywoodirect filmfare filmhistorypic filmcompanion srbachchan,1.0774205680806965,DELHI,1,neutral
41,RahulChakarvart,"New Delhi, India",73,118,"#piyushgoyal
#narendramodi
#amitshah
Really sorry to inform that I had traveled back from Vaishno Devi to Delhi on… https://t.co/s9AprlB8bX",0,0,0,40,0,0,0,3,3428,0,https://twitter.com/statuses/1190820292110635008,piyushgoyal narendramodi amitshah really sorry inform that travel back from vaishno devi delhi,1.0261447946113915,DELHI,1,negative
86,AkshayShekhar7,"Ghaziabad, India",21,184,"@atagamtyagi Yes , u r right ! But keeping in view that many political leaders &amp; public personalities are interfaci… https://t.co/sAO5BV09RK",0,0,1,256,1,1,0,0,1175,0,https://twitter.com/statuses/1190820004758863873,atagamtyagi right keep view that many political leaders public personalities interfaci,1.0093797778799354,DELHI,1,positive
97,Newyawn,Delhi,40,228,@AnilGelra @PiyushGoyal And Enistein gave concept of gravity😂,0,0,0,3524,2,1,0,0,2877,0,https://twitter.com/statuses/1190819905215565825,anilgelra piyushgoyal enistein give concept gravity,0.9517244706793005,DELHI,1,neutral
11,AshishChandra56,"नई दिल्ली, भारत",3,28,@TimesNow @rautsanjay61 Better late than never:),0,0,0,832,2,1,0,0,2519,0,https://twitter.com/statuses/1190820405730107392,timesnow rautsanjay61 better late than never,0.938871644880269,DELHI,1,positive
14,atulyaaman,"New Delhi, India",157,108,@elchapo0101 Count me in!,0,0,0,4133,1,1,0,0,2851,0,https://twitter.com/statuses/1190820402672521217,elchapo0101 count,0.9179251896368241,DELHI,1,neutral
63,durgaraghunath,"Delhi, India",9933,947,+1 Can the centre weigh-in to? https://t.co/BX2PcLzEc2,0,0,159,6351,0,0,1,0,4176,0,https://twitter.com/statuses/1190820147507814405,centre weighin,1.8504917737974393,DELHI,2,neutral
76,RailwaySeva,New Delhi,136230,115,@AshishJ08135715 Your complaint has been registered on RailMadad and complaint no. has been sent through SMS on you… https://t.co/RkRuQhfhkD,0,0,126,676086,1,1,1,0,675,0,https://twitter.com/statuses/1190820058848624641,ashishj08135715 your complaint be register railmadad complaint be send through you,1.7996344557725916,DELHI,2,negative
20,RailwaySeva,New Delhi,136230,115,"@pendraroadbeats Sir/Madam,Your complaint has been registered on RailMadad. Complaint number has been sent to your… https://t.co/u1WhoYqg2j",0,0,126,676086,1,1,1,0,675,0,https://twitter.com/statuses/1190820371039023104,pendraroadbeats sirmadam your complaint be register railmadad complaint number be send your,1.7996344557725916,DELHI,2,negative
18,KDharmapuri,New Delhi,714,2932,@arunpudur @CMOTamilNadu @AmitShah @HRajaBJP @apmbjp @kalyanbjmm @SuryahSG @Ethirajans @profsrinivasan1 @SVESHEKHER… https://t.co/wc1Kw832Xm,0,0,0,37416,10,1,0,0,1982,0,https://twitter.com/statuses/1190820381180907520,arunpudur cmotamilnadu amitshah hrajabjp apmbjp kalyanbjmm suryahsg ethirajans profsrinivasan1 sveshekher,1.195756746765832,DELHI,2,neutral
91,SpeakingAloud2U,"New Delhi, Delhi",138,176,Nainital Weekend Getaway | Delhi to Nainital Roadtrip Plan https://t.co/aiv9nQEPiN,0,0,15,969,0,0,0,0,1672,0,https://twitter.com/statuses/1190819972211183617,nainital weekend getaway delhi nainital roadtrip plan,1.1072950247112032,DELHI,2,neutral
12,bavalachhora,"New Delhi, India",53,214,@MODIfiedVikas Bhai i u get to know the answer. Please spread the word. I have been issued e challan. Where the pic… https://t.co/vrjsBCHRBx,0,0,2,489,1,1,0,0,1599,0,https://twitter.com/statuses/1190820405625253888,modifiedvikas bhai know answer please spread word have be issue challan where pic,1.0332084113472326,DELHI,2,neutral
33,veer_chauhan13,"New Delhi, India",53,253,@Muthu_Maha_Raja @News2147599358 @Rabipirzada DM me,0,0,0,767,3,1,0,0,3048,0,https://twitter.com/statuses/1190820329309929472,muthumaharaja news2147599358 rabipirzada,1.002137315220573,DELHI,2,neutral
92,veer_chauhan13,"New Delhi, India",53,253,@aheer_talha @News2147599358 @Rabipirzada Send me video,0,0,0,767,3,1,0,0,3048,0,https://twitter.com/statuses/1190819953714184192,aheertalha news2147599358 rabipirzada send video,1.002137315220573,DELHI,2,neutral
64,Rahul1Khanna,New Delhi,38,457,@GrabSG How can I pay to the driver ? Indian credit cards are not getting added ?,0,0,0,155,1,1,0,0,2543,0,https://twitter.com/statuses/1190820146194964480,grabsg driver indian credit card get add,0.9402011515986017,DELHI,2,neutral
90,ChaudhrGurnam,"Noida, India",1267,1291,@SadhguruJV @lakshmianand96 Lallu said the same when there were floods in Bihar. Though it is bitter truth.,0,0,5,93531,2,1,0,0,1074,0,https://twitter.com/statuses/1190819981648257024,sadhgurujv lakshmianand96 lallu say same when there be flood bihar though bitter truth,0.9105827981096873,DELHI,2,negative
82,RailwaySeva,New Delhi,136230,115,@dharit87 Kindly look into the matter @rpfncr   - RPF India,0,0,126,676086,2,1,1,0,675,0,https://twitter.com/statuses/1190820031090659329,dharit87 kindly look into matter rpfncr india,1.819236212083258,DELHI,3,positive
52,Mayanksharmajan,gurgaon,50,780,@gurgaon_live @mlkhattar @capt_amarinder @PrakashJavdekar @narendramodi @Rekhta @mlkhattar Sir do cabinet meeting i… https://t.co/t2KXo1el5B,1,1,0,1706,7,1,0,0,1045,1,https://twitter.com/statuses/1190820230487932928,gurgaonlive mlkhattar captamarinder prakashjavdekar narendramodi rekhta mlkhattar cabinet meet,1.198360123666409,DELHI,3,neutral
46,lekh27,new delhi,632,1189,"@SPIEGELONLINE @kuku27 Right-wing extremists have sent Claudia Roth a threatening email, according to a media repor… https://t.co/bNFWGTWape",0,0,70,174784,2,1,0,0,3257,0,https://twitter.com/statuses/1190820256341610496,spiegelonline kuku27 rightwing extremists have send claudia roth threaten email accord media repor,1.0677722781349295,DELHI,3,neutral
57,Manpreetmuskan,"New Delhi, India",772,330,@ReenaKaurH @STUPIDREACTIONS Ohh okay 😕 that sucks. People just can't mind their own business 🤦🏻‍♀️,0,1,5,5100,2,1,0,0,2742,0,https://twitter.com/statuses/1190820196233007106,reenakaurh stupidreactions okay that suck people just mind their business,1.013357583750589,DELHI,3,positive
42,kunwarbora,"New Delhi, India",86,137,@kunalkamra88 what about Rajdeep intervieing ur ammy Sonia,0,0,8,14727,1,1,0,0,3506,0,https://twitter.com/statuses/1190820287383654400,kunalkamra88 what about rajdeep intervieing ammy sonia,0.9637285667889571,DELHI,3,neutral
31,sumankumarskb,Gurgaon ,6,195,@ESPNcricinfo Again 3-0,0,0,0,190,1,1,0,0,3454,0,https://twitter.com/statuses/1190820336062750720,espncricinfo again,0.9355040496511945,DELHI,3,neutral
60,dennisckurian,Delhi,564,183,@pppjain Half the population will opt for public transport,0,0,0,42115,1,1,0,0,3392,0,https://twitter.com/statuses/1190820162707963904,pppjain half population will public transport,0.9342412579622146,DELHI,3,negative
38,DrVivekI,Delhi India ,50,54,@TIinExile That doesn’t mean anything Aryaman is a demigod Associated with goodness in the Vedas whereas the same A… https://t.co/FG9YgD4Pxy,0,0,2,2163,1,1,0,0,2124,0,https://twitter.com/statuses/1190820301610852352,tiinexile that doesn mean anything aryaman demigod associate with goodness vedas whereas same,0.9276557515219824,DELHI,3,negative
22,k_aditya25,"Faridabad, India",38,315,@damewilson9 @sarahrimmington @The_6ix_man I know... But one game can't have a huge impact on the massive stats that he's having this season,0,0,0,734,3,1,0,0,704,0,https://twitter.com/statuses/1190820363246006272,damewilson9 sarahrimmington the6ixman know game have huge impact massive stats that have this season,0.9261865600792277,DELHI,3,positive
53,SinhaAahan,"Delhi, India",65,465,@ArmaanMalik22 @iamsrk KING with Prince👑😍,0,0,0,3654,2,1,0,0,396,0,https://twitter.com/statuses/1190820228864724993,armaanmalik22 iamsrk king with prince,0.8709756554239753,DELHI,3,neutral
74,mssirsa,New Delhi,105981,641,"Dhan Baba Nanak 🙏🏻
Thanking the Sangat for their presence for Prabhat Pheri today morning at our residence https://t.co/cDmMb2DhON",2,14,118,16567,0,0,1,0,3704,1,https://twitter.com/statuses/1190820069313376256,dhan baba nanak thank sangat their presence prabhat pheri today morning residence,2.2270447668558186,DELHI,4,neutral
81,RailwaySeva,New Delhi,136230,115,@JayYada89738893 Kindly provide mobile number and PNR no./UTS no. through Direct Message (DM) Via this link  https://t.co/utEzIqSbbU,0,0,126,676086,1,1,1,0,675,0,https://twitter.com/statuses/1190820040204926976,jayyada89738893 kindly provide mobile number nouts through direct message this link,1.7996344557725916,DELHI,4,positive
35,RailwaySeva,New Delhi,136230,115,@SarathAnilkumar Please share PNR and mobile number via Direct Message   https://t.co/utEzIqSbbU,0,0,126,676086,1,1,1,0,675,0,https://twitter.com/statuses/1190820313161859072,sarathanilkumar please share mobile number direct message,1.7996344557725916,DELHI,4,positive
69,RailwaySeva,New Delhi,136230,115,@abhimanyu7 Kindly provide mobile number and PNR no./UTS no. through Direct Message (DM) Via this link  https://t.co/utEzIqSbbU,0,0,126,676086,1,1,1,0,675,0,https://twitter.com/statuses/1190820093061525504,abhimanyu7 kindly provide mobile number nouts through direct message this link,1.7996344557725916,DELHI,4,positive
89,RailwaySeva,New Delhi,136230,115,@bhanu_sachin Kindly provide mobile number and PNR no./UTS no. through Direct Message (DM) Via this link.  https://t.co/utEzIqSbbU,0,0,126,676086,1,1,1,0,675,0,https://twitter.com/statuses/1190819991219662849,bhanusachin kindly provide mobile number nouts through direct message this link,1.7996344557725916,DELHI,4,positive
27,sunilbajpai,"New Delhi, India",5250,603,@sk9751318 Did you opt for a contract with a minimum 90 day commitment? Who is your operator?,0,0,19,4320,1,1,0,0,4658,0,https://twitter.com/statuses/1190820348997931008,sk9751318 contract with minimum commitment your operator,1.3065223836096993,DELHI,4,neutral
48,tmj_ide_green,Delhi,254,243,"Have you ever had a role like ""Field Project Manager, Lands - 48154""? What did you like most about that job? #greenjobs #Green",0,0,0,112,0,0,0,2,3805,0,https://twitter.com/statuses/1190820246870880256,have ever role like field project manager land 48154 what like most about that greenjobs green,1.0523353617145719,DELHI,4,positive
26,ramsureshm10,"New Delhi, India",47,593,"@pankajjha_ @crpfindia @ABPNews @Uppolice Justice delayed is justice denied, In such cases ideally we should have j… https://t.co/JwZ0y4Jhm0",0,0,0,2092,4,1,0,0,2895,0,https://twitter.com/statuses/1190820353150509056,pankajjha crpfindia abpnews uppolice justice delay justice deny such case ideally should have,1.0257260028691382,DELHI,4,positive
49,RPFNRDLI,"New Delhi, India",4469,94,@NRRPF @JayYada89738893 Matter forwarded to RPF FDB to look into the matter.,0,0,4,12921,2,1,0,0,1395,0,https://twitter.com/statuses/1190820242911481856,nrrpf jayyada89738893 matter forward look into matter,1.000216270494158,DELHI,4,neutral
72,NilanjanS,"Faridabad, India",342,203,@gj_abhishek It is SAD. Fault lies with industry where so called stars behave like freshers in campus. By no means… https://t.co/0P0EtKMT2M,0,0,21,50421,1,1,0,0,3694,0,https://twitter.com/statuses/1190820080516399104,gjabhishek fault lie with industry where call star behave like freshers campus mean,0.9840177635917151,DELHI,4,negative
