,user,location,followers,following,unfiltered_text,retweets,likes,listed_count,tweets,mentions,isreply,verified,hashtags,days,retweeted_before,url,text,popularity,city,topics,sentiment
3,SanjayS42065818,Kanpur Uttar Pradesh,287,137,Unity Is Our Strength Rising Our Voice With New Passion Jai Bhi Jai Hindustan #JaiBhimTwitter https://t.co/VvkyXN0l7k,0,1,0,1743,0,0,0,1,196,0,https://twitter.com/statuses/1190820047612104704,unity strength rise voice with passion hindustan jaibhimtwitter,,KANPUR,0,neutral
5,HhhUtkarsh,"Kanpur, India",502,825,@Rich77716 @WWEonFOX @WWENXT @FinnBalor It wasn't against the Demon!,0,0,8,15639,4,1,0,0,1269,0,https://twitter.com/statuses/1190819378104655874,rich77716 wweonfox wwenxt finnbalor against demon,,KANPUR,0,neutral
11,shoes_ra,"Kanpur, India",236,676,"Good Morning 
Happy Sunday 
I love 5 months 
#October/#April
#November/#March 
#December https://t.co/YqySrl0YmW",0,1,0,3015,0,0,0,5,1321,0,https://twitter.com/statuses/1190817578916044800,good morning happy sunday love months october april november march december,,KANPUR,0,positive
13,SanjayS42065818,Kanpur Uttar Pradesh,287,137,Happy Birthday 🎂🎂🎂🎂🎂🎈🎈🎈🎉🎉🎉 🎉🎉 🎉🎉 🎉 To Ur Loving Son https://t.co/Zg2zeZISns,0,3,0,1743,0,0,0,0,196,0,https://twitter.com/statuses/1190817001683345408,happy birthday love,,KANPUR,0,positive
14,shoes_ra,"Kanpur, India",236,676,"""She could kiss him, or she could bite him. Both possibilities were equally tempting.""

❣️In Love With Soul❣️ https://t.co/6PVv6YE1n6",0,0,0,3015,0,0,0,0,1321,0,https://twitter.com/statuses/1190816333992058880,could kiss could bite both possibilities be equally tempt in love with soul,,KANPUR,0,positive
22,brokesilver,"Kanpur, India",311,216,The beautiful pollution haze https://t.co/NoEfY3u9yo,0,0,49,66710,0,0,0,0,3804,0,https://twitter.com/statuses/1190813375347011584,beautiful pollution haze,,KANPUR,0,positive
23,Parody_Gandhi,"New Delhi, India",2159,300,@ArjunWelcome3 @RammeharDabla @AhsanOfficials @akhterzaidi @anket_dx @Gautamshandily5 @BobbySohailKha1… https://t.co/WqgI9gukpM,1,3,0,23645,7,1,0,0,265,1,https://twitter.com/statuses/1190813123520823296,arjunwelcome3 rammehardabla ahsanofficials akhterzaidi anketdx gautamshandily5 bobbysohailkha1,,KANPUR,0,neutral
31,soorajsingh2204,"Kanpur, Uttar Pradesh, India",135,84,"Tattoo - yes-dragon
Coloured hair- Naa 
Surgeries- 1
Broken a bone- 0
One sided love- 3 
Stayed in a hospital- 1 ye… https://t.co/WpxvNEqUvg",0,1,0,293,0,0,0,0,955,0,https://twitter.com/statuses/1190809845852590081,tattoo yesdragon colour hair surgeries break bone side love stay hospital,,KANPUR,0,positive
43,dheerajfirst,"KANPUR, INDIA",313,304,"@ppbajpai Sir, plz do something for our children, who is suffering from muscular dystrophy that is called DMD",0,0,0,233,1,0,0,0,2394,0,https://twitter.com/statuses/1190803162124275712,ppbajpai something children suffer from muscular dystrophy that call,,KANPUR,0,neutral
46,brokesilver,"Kanpur, India",311,216,"@WomensCricZone That was outstanding, literally",0,0,49,66710,1,1,0,0,3804,0,https://twitter.com/statuses/1190801164201349120,womenscriczone that outstanding literally,,KANPUR,0,positive
0,Rj143Ra,"Kanpur, Uttar Pradesh",1,12,"#Likee #HelloLikee De Rock Ranveer Sainy is broadcasting a Magic Live, come and join in!https://t.co/x8IVBpx3J9 https://t.co/vHH7YB8ohd",0,0,0,30,0,0,0,2,1721,0,https://twitter.com/statuses/1190820510227030017,likee hellolikee rock ranveer sainy broadcast magic live come join,,KANPUR,1,positive
1,brokesilver,"Kanpur, India",311,216,@oxymoronic_me @sonamakapoor Everyone's different.. i like it when author is able to create the visual through its… https://t.co/BqWrklnIIW,0,0,49,66710,2,1,0,0,3804,0,https://twitter.com/statuses/1190820418464161792,oxymoronicme sonamakapoor everyone different like when author able create visual through its,,KANPUR,1,positive
2,SlTechnical,"Kanpur, India",5,3,"WhatsApp has officially rolled out the fingerprint unlock feature for all the Android users. Usually, we have to in… https://t.co/aP8DwEhbbt",0,0,0,43,0,0,0,0,439,0,https://twitter.com/statuses/1190820254978658304,whatsapp officially roll fingerprint unlock feature android users usually have,,KANPUR,1,negative
7,brokesilver,"Kanpur, India",311,216,"@oxymoronic_me @sonamakapoor As to your original answer, you can have a favorite book and not agree with it. You li… https://t.co/g3U6UCpWbJ",0,0,49,66710,2,1,0,0,3804,0,https://twitter.com/statuses/1190819047413342208,oxymoronicme sonamakapoor your original answer have favorite book agree with,,KANPUR,1,positive
8,GhoshDevanshu,"Kanpur, India",5,58,@htTweets @sudhiranjansen Best step GoI has taken by unification of armed forces in (so called) highly unstable are… https://t.co/g2YYs6iPGB,0,0,0,43,2,1,0,0,1362,0,https://twitter.com/statuses/1190818676687212545,httweets sudhiranjansen best step take unification arm force call highly unstable be,,KANPUR,1,positive
16,brokesilver,"Kanpur, India",311,216,@oxymoronic_me @sonamakapoor What gives you that impression,0,0,49,66710,2,1,0,0,3804,0,https://twitter.com/statuses/1190815566879166465,oxymoronicme sonamakapoor what give that impression,,KANPUR,1,neutral
18,brokesilver,"Kanpur, India",311,216,@oxymoronic_me @sonamakapoor Do you really think these celebrities even give these interviews ? Sab PR management ka kaam hai,0,0,49,66710,2,1,0,0,3804,0,https://twitter.com/statuses/1190814119055777792,oxymoronicme sonamakapoor really think these celebrities even give these interview management kaam,,KANPUR,1,positive
19,brokesilver,"Kanpur, India",311,216,@charlsalok @arunbothra 😂😂😂 Happy Sunday morning,0,1,49,66710,2,1,0,0,3804,0,https://twitter.com/statuses/1190813764972470272,charlsalok arunbothra happy sunday morning,,KANPUR,1,positive
20,Shshank7777,"Kanpur, India",67,1697,@ShamitaShetty @NeetuRohra @ANMOLJEWELLER @KromakaySalon On page 1 with special cover pic https://t.co/vvL3DhO7wm,0,0,0,234,4,1,0,0,680,0,https://twitter.com/statuses/1190813653387431937,shamitashetty neeturohra anmoljeweller kromakaysalon page with special cover,,KANPUR,1,positive
35,shoes_ra,"Kanpur, India",236,676,@Mizzling_Gaze I have no experience,0,1,0,3015,1,1,0,0,1321,0,https://twitter.com/statuses/1190806965594624000,mizzlinggaze have experience,,KANPUR,1,neutral
12,brokesilver,"Kanpur, India",311,216,@oxymoronic_me @sonamakapoor You specifically mentioned her so i asked. Being an actress has nothing to do with bei… https://t.co/Bl6e9qFwnC,0,0,49,66710,2,1,0,0,3804,0,https://twitter.com/statuses/1190817569223127040,oxymoronicme sonamakapoor specifically mention ask be actress nothing with bei,,KANPUR,2,neutral
15,prabhatmisra,"Firozabad, U.P., India",904,1660,"#ClimateMeet back on track; #Spain to host it. #COP25, after Santiago pulled out, #ClimateSummit will be held in… https://t.co/1Q0ejsOfbl",0,0,73,13707,0,0,0,4,3679,0,https://twitter.com/statuses/1190816315621003264,climatemeet back track spain host cop25 after santiago pull climatesummit will hold,,KANPUR,2,neutral
25,RaviRavigaur,Kanpur,18,279,#Terrorism doesn't have any religion it’s just a #myth. https://t.co/DoMoBrOfJB,0,0,2,273,0,0,0,2,2063,0,https://twitter.com/statuses/1190812414901551105,terrorism do have religion just myth,,KANPUR,2,neutral
