,user,location,followers,following,unfiltered_text,retweets,likes,listed_count,tweets,mentions,isreply,verified,hashtags,days,retweeted_before,url,text,popularity,city,topics,sentiment
4,DaddyKico,Planet Paradise ,447,266,Had a good day😌😌,0,1,1,11001,0,0,0,0,1687,0,https://twitter.com/statuses/1190820513867653120,good day,,LAS_VEGAS,0,positive
5,theejamieson,"Las Vegas, NV",2845,1735,@LucyLuvsSports Gritz cafe,0,0,125,490187,1,1,0,0,3888,0,https://twitter.com/statuses/1190820513829933057,lucyluvssports gritz cafe,,LAS_VEGAS,0,neutral
9,vegaschadc,Las Vegas,32,218,@SECfootball I'm just more shocked that high school football in New York exists. I figured they killed that game in… https://t.co/TjlAoHwDWS,0,0,0,9362,1,1,0,0,2852,0,https://twitter.com/statuses/1190820505571360773,secfootball just more shock that high school football york exist figure they kill that game,,LAS_VEGAS,0,positive
12,pachi541,paradise,311,233,Pathetic 😂 https://t.co/BHgFruPtAh,0,0,1,11156,0,0,0,0,1190,0,https://twitter.com/statuses/1190820490325057536,pathetic,,LAS_VEGAS,0,negative
17,TimBrennanVegas,Las Vegas,120,16,The 50 best workplaces for innovators https://t.co/6S2shgpJAx,0,0,2,1442,0,0,0,0,3362,0,https://twitter.com/statuses/1190820480694935552,best workplaces innovators,,LAS_VEGAS,0,positive
18,salty_beatnik,"Las Vegas, NV",175,278,Same story every year— innocent black man in Texas who was put on death row in the ‘90s is approaching his executio… https://t.co/pIfQ3zMGuE,0,0,2,13310,0,0,0,0,1958,0,https://twitter.com/statuses/1190820480552329217,same story every year innocent black texas death approach executio,,LAS_VEGAS,0,positive
29,The_David_Marco,Las Vegas Nevada,110,110,"@ErikTheElectric My dorm was very small so the microwave, small fridge &amp; one small cabinet was all we had.Eating he… https://t.co/47h1P6b8u7",0,0,0,1908,1,1,0,0,192,0,https://twitter.com/statuses/1190820445026684929,eriktheelectric dorm very small microwave small fridge small cabinet hadeating,,LAS_VEGAS,0,negative
30,LesleyinVegas,"Las Vegas, NV",2921,3429,@GoldenKnights Holden n glass are playing solid... must be all that Halloween candy 🤣🤣🍫🍫🍫🏒🏒🏒,0,0,82,10807,1,1,0,0,3926,0,https://twitter.com/statuses/1190820440484134913,goldenknights holden glass play solid must that halloween candy,,LAS_VEGAS,0,neutral
31,altunes402,"Las Vegas , NV",53,162,@C_3C_3 @nanato4kids Just ask No-Name. https://t.co/qbE25pY2c3,0,0,0,833,2,1,0,0,3115,0,https://twitter.com/statuses/1190820438437314561,c3c3 nanato4kids just noname,,LAS_VEGAS,0,neutral
32,parallelocam,"Las Vegas, NV",363,162,They did not fit :(,0,0,21,16500,0,1,0,0,2680,0,https://twitter.com/statuses/1190820436784713728,they,,LAS_VEGAS,0,neutral
1,AtheenaDel,"Las Vegas, NV",25,255,"Horrible period cramps mixed with kidney pain... 

10/10 DON’T RECOMMEND😭😭😭🤬",0,0,0,230,0,0,0,0,158,0,https://twitter.com/statuses/1190820520209465344,horrible period cramp mix with kidney pain 1010 recommend,,LAS_VEGAS,1,negative
2,will_bryant3,"Las Vegas, NV",557,531,New Gucci fans don’t know bout my kitchen https://t.co/z1kINNNsU4,0,0,1,6520,0,0,0,0,1202,0,https://twitter.com/statuses/1190820515243409408,gucci fan know bout kitchen,,LAS_VEGAS,1,neutral
6,LeGusta9,"Las Vegas, NV",35,91,@ctrlaltariel Hell nahh cause that was sum fuck shit,0,1,0,944,1,1,0,0,180,0,https://twitter.com/statuses/1190820512227713025,ctrlaltariel hell nahh cause that fuck shit,,LAS_VEGAS,1,negative
13,IshootvideoLV,Las Vegas,2079,2171,@NandaPrates_ @RawrEWreckz A+ tweet,0,0,25,14563,2,1,0,0,2978,0,https://twitter.com/statuses/1190820488601206785,nandaprates rawrewreckz tweet,,LAS_VEGAS,1,neutral
20,realKILLERkross,"Las Vegas, NV",19207,1807,Tick tock. ⏳ https://t.co/qpLa9FQOR6,0,0,139,32399,0,0,0,0,1738,0,https://twitter.com/statuses/1190820476982947840,tick tock,,LAS_VEGAS,1,neutral
24,yailenis_cv,Las Vegas,2145,980,one of my biggest pet peeves is looking or feeling stupid that shit got me heated,0,0,15,27588,0,0,0,0,1471,0,https://twitter.com/statuses/1190820465910009858,biggest peeve look feel stupid that shit heat,,LAS_VEGAS,1,negative
28,BadPowers7,"Las Vegas, NV",7,19,I’ve got both #GoDucks and #USC fans hating on me tonight! @BurgerKing https://t.co/mkyokxnIu2,0,0,0,69,1,0,0,2,29,0,https://twitter.com/statuses/1190820445383254017,both goducks fan hat tonight burgerking,,LAS_VEGAS,1,neutral
