,user,location,followers,following,unfiltered_text,retweets,likes,listed_count,tweets,mentions,isreply,verified,hashtags,days,retweeted_before,url,text,popularity,city,topics,sentiment
75,bps19,"Lucknow, India",16431,4635,"@yogivimal Sir above-mentioned issue's are the basic problems, my advise for couple's  that's Don't keep secrets fr… https://t.co/ZR4NOU9ZHd",1,1,26,27915,1,1,0,0,2988,1,https://twitter.com/statuses/1190809438900211717,yogivimal abovementioned issue basic problems advise couple that keep secrets,1.666269861796555,LUCKNOW,0,neutral
99,bps19,"Lucknow, India",16431,4635,@news18dotcom @RenuPat72697100 No doubt changed situations is so critical but posted picture's are simply managed and edited,0,0,26,27915,2,1,0,0,2988,0,https://twitter.com/statuses/1190804415390732288,news18dotcom renupat72697100 doubt change situations critical post picture simply manage edit,1.6221913884989534,LUCKNOW,0,neutral
87,bps19,"Lucknow, India",16431,4635,Need space in a relationship so they don't suffocate each other. It encourages each person to maintain their own se… https://t.co/8pQWWTUQik,0,0,26,27915,0,1,0,0,2988,0,https://twitter.com/statuses/1190807089779621889,need space relationship they suffocate each other encourage each person maintain their,1.5868830689548608,LUCKNOW,0,negative
86,sambobellobaye1,Lucknow Uttar Pradesh ,14,185,@AM_Saleeem @Capt_Aliyu @shuubeemaikaji @dadeen__ @elmahdeey @saleemtofah I will write I love you too my daughter t… https://t.co/GPB6S1knQ5,0,0,0,19,6,1,0,0,1843,0,https://twitter.com/statuses/1190807107097911297,amsaleeem captaliyu shuubeemaikaji dadeen elmahdeey saleemtofah will write love daughter,1.0740993023477803,LUCKNOW,0,positive
76,abledoc,"Lucknow, India",1321,1019,"@teslaownersSV It’s a render.
Hence no comments",0,0,37,21944,1,1,0,0,3937,0,https://twitter.com/statuses/1190809305517182976,teslaownerssv render hence comment,0.9844828861753391,LUCKNOW,0,neutral
78,abledoc,"Lucknow, India",1321,1019,"@gwestr It did not win.
Top Gear cheated by using a 2 year old car in Range conserving mode during drag race.",0,0,37,21944,1,1,0,0,3937,0,https://twitter.com/statuses/1190809008921141248,gwestr gear cheat use year range conserve mode during drag race,0.9844828861753391,LUCKNOW,0,negative
68,AgraMediaa,Lucknow Uttar Pradesh,4371,4441,"Our biggest fans this week: jayhind22090440, NiranjanTripa16, Kamlesh70509811. Thank you! via… https://t.co/TXtFO47gsM",0,3,1,4632,0,0,0,0,145,0,https://twitter.com/statuses/1190812164220735490,biggest fan this week jayhind22090440 niranjantripa16 kamlesh70509811 thank via,0.913986885629752,LUCKNOW,0,neutral
83,HasanRizawi1,"Lucknow, India",2,155,@iamsrk @mohamed_alabbar @BurjKhalifa @emaardubai Nice😍♥️♥️♥️♥️♥️,0,0,0,34,4,1,0,0,92,0,https://twitter.com/statuses/1190807832892854272,iamsrk mohamedalabbar burjkhalifa emaardubai nice,0.8227831724343656,LUCKNOW,0,positive
91,SachinSj_Ss,"Melbourne, Victoria",6,121,@AdminLKO Also as per standard norms every construction site to sprinkle water to at the site to control dust howev… https://t.co/Wsvhkqfeu0,0,0,0,127,1,1,0,0,2597,0,https://twitter.com/statuses/1190806352458764288,adminlko also standard norms every construction site sprinkle water site control dust howev,0.7943728957646871,LUCKNOW,0,neutral
71,vivekkrantikarr,"Lucknow, India",223,287,@e76Hoyozz85LnZn Zbbzzbzb,0,0,0,3996,1,1,0,0,611,0,https://twitter.com/statuses/1190811617593659392,e76hoyozz85lnzn zbbzzbzb,0.7445099460752888,LUCKNOW,0,neutral
